year,month,day,hour,minute,cause,text,status
2017,3,4,11,17,壞車,將軍澳道去將軍澳,最新
2017,3,4,11,15,交通意外,屯門公路去元朗,跟進
2017,3,4,10,55,交通意外,大埔公路去大圍,清理
2017,3,4,10,32,修路工程,東區走廊去中環,清理
2017,3,4,10,30,交通意外,公主道過海,清理
2017,3,4,10,30,交通意外,屯門公路去元朗,最新
2017,3,4,10,26,交通意外,大埔公路去大圍,最新
2017,3,4,10,20,修路工程,東區走廊去中環,跟進
2017,3,4,10,15,交通意外,公主道過海,最新
2017,3,4,10,0,交通意外,沙田路去九龍,清理
2017,3,4,9,59,壞車,龍翔道去荃灣,清理
2017,3,4,8,55,交通意外,沙田路去九龍,最新
2017,3,4,8,42,修路工程,東區走廊去中環,跟進
2017,3,4,8,40,壞車,龍翔道去荃灣,跟進
2017,3,4,8,30,壞車,將軍澳道去將軍澳,清理
2017,3,4,8,28,交通意外,屯門公路去元朗,清理
2017,2,28,10,15,交通意外,龍翔道去觀塘,清理
2017,2,28,9,8,交通意外,屯門公路去九龍,清理
2017,2,28,9,0,交通意外,漆咸道去尖沙咀,清理
2017,2,28,9,0,交通意外,龍翔道去觀塘,最新
2017,2,28,8,56,交通意外,屯門公路去九龍,跟進
2017,2,28,8,44,交通意外,漆咸道去尖沙咀,跟進
2017,2,28,8,35,交通意外,漆咸道北去觀塘,跟進
2017,2,28,8,32,交通意外,漆咸道北去觀塘,最新
2017,2,28,8,31,交通意外,屯門公路去九龍,最新
2017,2,28,8,30,交通意外,漆咸道去尖沙咀,最新
2017,2,28,8,10,交通意外,吐露港公路去九龍,清理
2017,2,28,8,0,交通意外,吐露港公路去九龍,最新
2017,2,28,7,45,交通意外,吐露港公路去九龍,清理
2017,2,28,7,31,交通意外,吐露港公路去九龍,最新
2017,2,28,7,25,交通意外,加士居道去油麻地,最新
2017,2,28,7,20,交通意外,漆咸道北去觀塘,清理
2017,1,4,6,33,交通意外,粉嶺公路去九龍,清理
2017,1,3,19,25,交通意外,將軍澳隧道去觀塘,最新
2017,1,3,19,24,交通意外,粉嶺公路去九龍,跟進
2017,1,3,19,0,交通意外,粉嶺公路去九龍,最新
2017,1,3,18,59,修路工程,浙江街去旭日街,最新
2017,1,3,18,33,交通意外,荃灣路去屯門,清理
